Company,Planned Delivery Date Due,Order,Line,,Sold-to Business Partner,Item,Item Code,Item Description,Price,,Ordered Quantity,Unit,Initial Requested Delivery Date,Customer Requested Delivery Date,Original Promised Delivery Date,Planned Delivery Date,Planned Receipt Date,Release Date,Actual Delivery Date,Delivered Quantity,,Delivery Status,Status,Project Reference,Production/Purchase Site,Quantity Type in Package,Sent From WEST,Split,Standard Price
1055,-6,SO0000024,10,0,B00010544,,S_EBUS_CD,Car Door ECOBUS,2733.43,pcs,1,pcs,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,,0,pcs,Open,Approve the Sales Order,TESTING,,Multiple,Yes,No,2733.43
1055,-6,SO0000098,10,0,B00010544,,S_EBUS_CD,Car Door ECOBUS,2733.43,pcs,1,pcs,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,TESTING,ES01N0301,Multiple,Yes,No,2733.43
1055,-6,SO0000020,10,0,B00010553,,S_EBUS_CD,Car Door ECOBUS,2733.23,pcs,1,pcs,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,11/17/2021 1:00,,0,pcs,Open,Approve the Sales Order,TESTING,,Multiple,Yes,No,2733.23
1055,-6,SO0000102,10,0,B00001973,SO0000102,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/17/2021 5:12,11/17/2021 5:12,11/17/2021 5:12,11/17/2021 5:12,11/17/2021 5:12,11/16/2021 5:12,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-6,SO0000109,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1009.28,pcs,1,pcs,11/17/2021 8:41,11/17/2021 8:41,11/17/2021 8:41,11/17/2021 8:41,11/17/2021 8:41,11/17/2021 8:41,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-6,SO0000158,10,0,B00000005,SO0000147,EBUS_CD           001,ECOBUS CO650O CH=2000,1022.4,pcs,1,pcs,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,1022.4
1055,0,SO0000158,20,0,B00000005,EO0000019,EBUS_CD           001,ECOBUS CO750O CH=2000,466.57,pcs,1,pcs,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/18/2021 8:08,1,pcs,Delivered,Awaiting definite invoice.,,ES01N0301,Multiple,No,No,0
1055,-6,SO0000158,30,0,B00000005,EO0000021,EBUS_CD,ECOBUS CO700O CH=2000,461.39,pcs,1,pcs,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,0
1055,-6,SO0000158,40,0,B00000005,EO0000051,EBUS_CD           001,ECOBUS CO750O CH=2000,0,pcs,1,pcs,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,0
1055,-6,SO0000158,50,0,B00000005,SO0000030,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,11/17/2021 9:16,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,1009.28
1055,0,QS0000001,10,0,B00001973,,0601812A01,Magnet switch,20,pcs,1,pcs,11/17/2021 10:15,11/17/2021 10:15,11/17/2021 10:15,11/17/2021 10:15,11/17/2021 10:15,11/17/2021 10:15,11/17/2021 10:43,1,pcs,Delivered,Order line is awaiting processing invoice lines.,,ES01N0301,Multiple,No,No,20
1055,-6,SO0000162,10,0,B00001973,EO0000019,EBUS_CD           001,ECOBUS CO750O CH=2000,0,pcs,1,pcs,,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,0
1055,0,SO0000162,20,0,B00001973,EO0000042,EBUS_CD,ECOBUS CO700O CH=2000,0,pcs,1,pcs,,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 12:12,1,pcs,Delivered,Deleting line.....,,ES01N0301,Multiple,No,No,0
1055,-6,SO0000162,30,0,B00001973,EO0000049,EBUS_CD,ECOBUS CO800O CH=2000,0,pcs,1,pcs,,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,,0,pcs,Open,Deleting line.....,,ES01N0301,Multiple,No,No,0
1055,0,SO0000162,40,0,B00001973,SO0000054,EBUS_CD,ECOBUS CO500O CH=2000,1013.73,pcs,1,pcs,,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 10:59,11/17/2021 12:12,1,pcs,Delivered,Deleting line.....,,ES01N0301,Multiple,No,No,1013.73
1055,-6,SO0000167,10,0,B00010345,,ZDF19300001,DF1930 Test,15,pcs,5,pcs,11/17/2021 14:28,11/17/2021 14:28,11/17/2021 14:28,11/17/2021 14:28,11/17/2021 14:28,11/17/2021 14:28,,0,pcs,Open,Awaiting delivery.,,ES01N0301,Multiple,No,No,15
1055,-6,SO0000052,10,0,B00001973,,S_HYD_LD,Lnd Door HYDRA,2408.22,pcs,1,pcs,11/17/2021 17:33,11/17/2021 17:33,11/17/2021 17:33,11/17/2021 17:33,11/17/2021 17:33,11/17/2021 17:33,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,,ES01N0301,Multiple,No,No,2408.22
1055,-6,SO0000084,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1009.28,pcs,1,pcs,11/17/2021 19:30,11/17/2021 19:30,11/17/2021 19:30,11/17/2021 19:30,11/17/2021 19:30,11/17/2021 19:30,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1022.4
1055,-5,SO0000179,10,0,B00001973,SO0000179,EBUS_CD,ECOBUS CO600O CH=2000,1036.7,pcs,1,pcs,11/18/2021 12:07,11/18/2021 12:07,11/18/2021 12:07,11/18/2021 12:07,11/18/2021 12:07,11/18/2021 12:07,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1036.7
1055,-4,SO0000029,10,0,B00001973,,S_WIV_LD,Lnd Door WIV,0,pcs,1,pcs,11/19/2021 5:50,11/19/2021 5:50,11/19/2021 5:50,11/19/2021 5:50,11/19/2021 5:50,11/19/2021 5:50,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,PR,ES01N0301,Multiple,No,No,0
1055,-4,SO0000034,10,0,B00001973,SO0000034,WIV_LD,AUGUSTCOLD   CH=,0,pcs,1,pcs,11/19/2021 7:02,11/19/2021 7:02,11/19/2021 7:02,11/19/2021 7:02,11/19/2021 7:02,11/18/2021 7:02,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,PR,ES01N0301,Multiple,No,No,0
1055,-3,SO0000192,10,0,B00001167,,S_WIV_LD,Lnd Door WIV,0,pcs,1,pcs,11/20/2021 15:45,11/20/2021 15:45,11/20/2021 15:45,11/20/2021 15:45,11/20/2021 15:45,11/20/2021 15:45,,0,pcs,Open,Approve the Sales Order,,,Multiple,No,No,0
1055,-1,SO0000028,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1009.28,pcs,1,pcs,11/22/2021 4:44,11/22/2021 4:44,11/22/2021 4:44,11/22/2021 4:44,11/22/2021 4:44,11/22/2021 4:44,,0,pcs,Open,Approve the Sales Order,PR-T-001,ES01N0301,Multiple,No,No,1009.28
1055,-1,SO0000139,10,0,B00001973,,S_WIV_LD,Lnd Door WIV,1000,pcs,1,pcs,11/22/2021 5:13,11/22/2021 5:13,11/22/2021 5:13,11/22/2021 5:13,11/22/2021 5:13,11/22/2021 5:13,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1000
1055,-1,SO0000032,10,0,B00001973,,S_WIV_LD,Lnd Door WIV,0,pcs,1,pcs,11/22/2021 6:27,11/22/2021 6:27,11/22/2021 6:27,11/22/2021 6:27,11/22/2021 6:27,11/22/2021 6:27,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,PR-E-002,ES01N0301,Multiple,No,No,0
1055,-1,SO0000155,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,96.1,pcs,1,pcs,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,-1,SO0000180,10,0,B00001973,,S_WIV_LD,Lnd Door WIV,0,pcs,1,pcs,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,11/22/2021 7:36,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,0
1055,-1,EO0000003,10,0,B00001973,EO0000003,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/19/2021 9:44,,0,pcs,Open,Release Sales Orders to Warehousing,prj123QQ?,ES01N0301,Multiple,No,No,1009.28
1055,-1,EO0000003,20,0,B00001973,EO0000003,WIV_LD,AUGUSTCO800L CH=2000,0,pcs,1,pcs,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/22/2021 9:44,11/19/2021 9:44,,0,pcs,Open,Release Sales Orders to Warehousing,prj123QQ?,ES01N0301,Multiple,No,No,0
1055,-1,SO0000038,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1022.4,pcs,1,pcs,11/22/2021 10:14,11/22/2021 10:14,11/22/2021 10:14,11/22/2021 10:14,11/22/2021 10:14,11/22/2021 10:14,,0,pcs,Open,Approve the Sales Order,PR-2,ES01N0301,Multiple,No,No,1022.4
1055,-1,SO0000076,10,0,B00001973,SO0000076,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/22/2021 10:44,11/22/2021 10:44,11/22/2021 10:44,11/22/2021 10:44,11/22/2021 10:44,11/19/2021 10:44,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1009.28
1055,-1,SO0000077,10,0,B00001973,,S_WIV_LD,Lnd Door WIV,0,pcs,1,pcs,11/22/2021 10:54,11/22/2021 10:54,11/22/2021 10:54,11/22/2021 10:54,11/22/2021 10:54,11/22/2021 10:54,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,,ES01N0301,Multiple,No,No,0
1055,-1,SO0000120,10,0,B00001973,SO0000120,EBUS_CD,ECOBUS CO650O CH=2000,1022.4,pcs,1,pcs,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/19/2021 12:19,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1022.4
1055,-1,SO0000120,20,0,B00001973,SO0000120,EBUS_CD           001,ECOBUS CO700O CH=2000,1022.4,pcs,1,pcs,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/22/2021 12:19,11/19/2021 12:19,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1022.4
1055,0,SO0000085,10,0,B00001973,SO0000085,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/23/2021 7:20,11/23/2021 7:20,11/23/2021 7:20,11/23/2021 7:20,11/23/2021 7:20,11/22/2021 7:20,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1009.28
1055,0,SO0000037,10,0,B00001973,,S_EBUS_CD,Car Door ECOBUS,1009.28,pcs,1,pcs,11/23/2021 9:32,11/23/2021 9:32,11/23/2021 9:32,11/23/2021 9:32,11/23/2021 9:32,11/23/2021 9:32,,0,pcs,Open,Generate (Project PCS) Structure for Sales Orders,,ES01N0301,Multiple,No,No,1009.28
1055,0,SO0000089,10,0,B00001973,SO0000089,EBUS_CD,ECOBUS CO650O CH=2000,1022.4,pcs,1,pcs,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/22/2021 10:07,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1022.4
1055,0,SO0000089,20,0,B00001973,SO0000089,EBUS_CD           001,ECOBUS CO650O CH=2000,1022.4,pcs,1,pcs,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/23/2021 10:07,11/22/2021 10:07,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,,ES01N0301,Multiple,No,No,1022.4
1055,0,SO0000090,10,0,B00001973,SO0000090,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/23/2021 10:12,11/23/2021 10:12,11/23/2021 10:12,11/23/2021 10:12,11/23/2021 10:12,11/22/2021 10:12,,0,pcs,Open,Release Sales Orders to Warehousing,PR-DET,ES01N0301,Multiple,No,No,1022.4
1055,0,SO0000099,10,0,B00001973,SO0000099,EBUS_CD,ECOBUS CO650O CH=2000,1009.28,pcs,1,pcs,11/23/2021 13:12,11/23/2021 13:12,11/23/2021 13:12,11/23/2021 13:12,11/23/2021 13:12,11/22/2021 13:12,,0,pcs,Open,Approve the Sales Order,,ES01N0301,Multiple,No,No,1009.28
1055,1,SO0000061,10,0,B00001973,SO0000061,WIV_LD,AUGUSTCO900L CH=2000,0,pcs,1,pcs,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/23/2021 1:00,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,SENN BADENERSTRASSE TH3,ES01N0301,Multiple,No,No,0
1055,1,SO0000061,20,0,B00001973,SO0000061,WIV_LD            001,AUGUSTCO900L CH=2000,0,pcs,1,pcs,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/24/2021 1:00,11/23/2021 1:00,,0,pcs,Open,Print Sales Order Acknowledgements/RMAs,SENN BADENERSTRASSE TH3,ES01N0301,Multiple,No,No,0
